code,domein,offerte_url,formulier_velden,telefoon_verplicht,email,screens,rolluiken,solar,montage,regio,opmerking
A,zonwering-fabriek.nl,,"Geen apart offerteformulier gevonden; alleen configurator+winkelwagen en een contactpagina zonder duidelijk contactformulier (zoekbalk gedetecteerd, mogelijk chatwidget).",onbekend,,ja,ja,ja,"nee (diy, zelf monteren)",landelijk (webshop),"DIY-webshop/configurator, koop direct + zelf monteren; geen offerteformulier, alleen bestellen"
B,zonweringbestellen.nl,https://www.zonweringbestellen.nl/contact,"Contactformulier: productkeuze (dropdown), e-mailadres, tekstveld, bestand-upload, bericht. Geen apart telefoonveld gezien.",nee (geen veld),,ja,ja,nee,onbekend (webshop),landelijk (webshop),"DIY-webshop/configurator; contactformulier is generiek, geen los offerteformulier"
C,solanowonen.nl,https://www.solanowonen.nl/contact,"Supportformulier (Zendesk-achtig): Naam*, Onderwerp* (dropdown, incl. 'Montage'/'Plaatsen van bestelling'), E-mailadres*, Telefoonnummer (optioneel), Ordernummer, Bericht*, Foto's (optioneel).",nee (optioneel),,ja,ja,ja,ja (montage-optie via dropdown 'Montage'),landelijk (webshop),"Webshop met montage-optie; contactformulier is algemeen supportformulier, geen dedicated offerteformulier"
D,rolluiken33.nl,https://www.rolluiken33.nl/offerte-aanvragen/,Geen los formulier: werkt via configurator per product + winkelwagen ('offerte aanvragen' = producten in winkelwagen plaatsen en afrekenen als offerte-aanvraag).,onbekend,e-mail via Cloudflare-mailbescherming op contactpagina (niet automatisch uit te lezen),ja,ja,ja,ja (montage-optie),"landelijk (webshop, vestiging Venlo)","Webshop+montage-optie; offerte-aanvragen loopt via productconfigurator+winkelwagen, niet via los formulier"
E,zonnerij.nl,https://www.zonnerij.nl/Contactformulier/,"Contactformulier: Voornaam*, Achternaam*, Adres, Huisnummer, Toevoeging, Plaatsnaam*, Telefoonnummer, E-mailadres*, Bericht, Bestand uploaden (optioneel). Sitebreed ook een uitgebreidere variant met Postcode/Woonplaats/Telefoon als verplicht (per productpagina-context).","wisselend (in hoofdformulier optioneel, in productvariant verplicht)",info@zonnerij.nl,ja,ja,ja,onbekend,landelijk (webshop),"DIY-webshop; pagina bevat meerdere ingesloten formulieren (login, review, contact) door elkaar"
F,zonenscherm.nl,https://zonenscherm.nl/offerte-aanvragen/,"Dedicated offerteformulier: Aanhef, Naam*, Adres*, Postcode*, Plaats*, E-mail*, Telefoon*, Voorkeur service (dropdown), Offerte voor (dropdown)*, Globale maatvoering, Omschrijving, Upload foto's (optioneel).",ja,(niet gevonden op offertepagina; algemeen info@ niet zichtbaar),ja,ja,ja,ja (webshop+montage),landelijk (webshop+montage),"Volledig offerteformulier met adres+telefoon verplicht, foto-upload optioneel"
G,zonwering-online.com,https://www.zonwering-online.com/contact,"Eenvoudig contactformulier: Naam, E-mailadres, Bericht, akkoord privacybeleid (+ recaptcha). Geen telefoonveld.",nee (geen veld),,ja,ja,ja,onbekend,landelijk (webshop),"Alleen algemeen contactformulier, geen los offerteformulier gevonden"
H,zonweringstunter.nl,,Geen offerteformulier gevonden; site is webshop met fysieke showroom (Purmerend). Contactpagina laadde niet binnen tijdslimiet (timeout).,onbekend,info@zonweringstunter.nl,ja,ja,ja,onbekend (webshop + showroom),"landelijk (webshop, showroom Purmerend NH)",Alleen mailto gevonden; contactpagina/offerteflow niet binnen tijdslimiet te laden
I,screen-discount.nl,https://www.screen-discount.nl/contact/,"Contactformulier (merk jvszonwering): Naam, E-mailadres, Ordernummer/factuur, Omschrijving, plus los aanmeldformulier nieuwsbrief. Geen telefoonveld.",nee (geen veld),info@jvszonwering.nl,ja,ja,ja,onbekend,landelijk (webshop),DIY-webshop screens; ook fysieke showroom-afspraak mogelijk (/contact/showroom-afspraak-maken/)
J,creon-rolluiken.nl,https://www.creon-rolluiken.nl/contacts,"Contactformulier: Voornaam*, Achternaam*, E-mailadres*, Telefoonnummer*, Onderwerp (dropdown), Vraag/opmerking*, foto-upload (optioneel), akkoord voorwaarden*.",ja,,ja,nee,nee,onbekend,landelijk (webshop),"Webshop, geen rolluiken/solar-vermelding op homepage (focus lijkt smaller dan naam doet vermoeden - handmatig verifiëren)"
